,Customer ID,Name,Surname,Gender,Age,Region,Job Classification,Date Joined,Balance,loan,score,loan_eligibility
23,200000024,Carl,Quinn,Male,52,Scotland,Blue Collar,19.Jan.15,6580.81,2785.0,448.0,0.0
24,100000025,Jennifer,Hughes,Female,38,England,White Collar,20.Jan.15,20505.32,3772.0,413.0,102526.6
25,200000026,Richard,Fraser,Male,55,Scotland,Blue Collar,21.Jan.15,43249.26,6881.0,560.0,0.0
26,400000027,Rachel,McGrath,Female,37,Northern Ireland,White Collar,23.Jan.15,3967.2,7383.0,598.0,0.0
27,100000028,Alison,Fisher,Female,33,England,White Collar,25.Jan.15,3428.56,7499.0,521.0,34285.6
28,200000029,Lucas,Mackenzie,Male,50,Scotland,Blue Collar,25.Jan.15,20516.1,3516.0,338.0,0.0
29,100000030,Luke,Wilkins,Male,42,England,White Collar,27.Jan.15,10813.83,8539.0,459.0,54069.15
30,100000031,Megan,Bell,Female,25,England,White Collar,28.Jan.15,38889.76,8445.0,385.0,194448.80000000002
31,300000032,Warren,Edmunds,Male,30,Wales,White Collar,28.Jan.15,14094.01,3320.0,480.0,0.0
32,200000033,Grace,Chapman,Female,58,Scotland,Other,29.Jan.15,25865.2,5600.0,628.0,0.0
33,100000034,Jake,Wilson,Male,26,England,Other,30.Jan.15,5833.62,9933.0,533.0,58336.2
34,100000035,Karen,Dyer,Female,34,England,Blue Collar,31.Jan.15,77809.59,3633.0,561.0,778095.8999999999
35,100000036,Yvonne,Thomson,Female,36,England,White Collar,31.Jan.15,31680.67,7734.0,387.0,158403.34999999998
36,100000037,Sophie,Gill,Female,33,England,White Collar,31.Jan.15,20504.37,9432.0,581.0,205043.69999999998
37,100000038,Robert,Cornish,Male,31,England,Other,31.Jan.15,5688.36,6530.0,697.0,113767.2
38,200000039,Luke,Martin,Male,35,Scotland,Blue Collar,31.Jan.15,12848.59,6503.0,527.0,0.0
39,200000040,Gavin,Pullman,Male,59,Scotland,Other,31.Jan.15,114456.23,4277.0,367.0,0.0
40,100000041,Edward,Terry,Male,27,England,Blue Collar,01.Feb.15,51412.6,9088.0,432.0,257063.0
41,100000042,Diane,Black,Female,35,England,White Collar,01.Feb.15,9695.7,5744.0,379.0,48478.5
42,200000043,Jake,Morgan,Male,49,Scotland,Blue Collar,01.Feb.15,114021.21,7865.0,533.0,0.0
43,400000044,Yvonne,Churchill,Female,22,Northern Ireland,Other,01.Feb.15,107728.07,6597.0,576.0,0.0
44,100000045,Dorothy,Johnston,Female,53,England,Other,03.Feb.15,2893.19,4478.0,676.0,57863.8
45,200000046,Lisa,Berry,Female,47,Scotland,Other,03.Feb.15,54589.61,3343.0,648.0,0.0
46,200000047,Leah,Nolan,Female,32,Scotland,Other,03.Feb.15,59501.63,5181.0,341.0,0.0
47,400000048,Carolyn,Lewis,Female,19,Northern Ireland,Other,08.Feb.15,14337.82,9569.0,519.0,0.0
48,100000049,Simon,Ball,Male,27,England,White Collar,12.Feb.15,23921.89,8009.0,617.0,478437.8
49,100000050,Charles,Nolan,Male,39,England,White Collar,12.Feb.15,39034.14,7740.0,507.0,390341.4
50,100000051,Sophie,Wilkins,Female,29,England,Blue Collar,12.Feb.15,1401.43,8475.0,477.0,7007.150000000001
51,100000052,Kimberly,James,Female,31,England,Blue Collar,12.Feb.15,41626.25,4259.0,330.0,208131.25
52,100000053,Madeleine,Ellison,Female,37,England,Other,12.Feb.15,47551.7,7076.0,680.0,951034.0
53,100000054,Irene,MacLeod,Female,32,England,White Collar,12.Feb.15,24187.98,2685.0,454.0,120939.9
54,100000055,Cameron,Taylor,Male,24,England,White Collar,12.Feb.15,4912.21,9301.0,657.0,98244.2
55,100000056,Liam,Gibson,Male,40,England,White Collar,12.Feb.15,58391.45,4423.0,450.0,291957.25
56,100000057,Donna,Knox,Female,33,England,Blue Collar,12.Feb.15,58033.89,9502.0,493.0,290169.45
57,100000058,Piers,Morgan,Male,44,England,White Collar,12.Feb.15,35831.2,8383.0,480.0,179156.0
58,100000059,Phil,Randall,Male,39,England,Other,12.Feb.15,1879.85,7520.0,421.0,9399.25
59,100000060,Ryan,White,Male,47,England,White Collar,12.Feb.15,23375.57,8228.0,357.0,116877.85
60,100000061,Kylie,Howard,Female,35,England,White Collar,12.Feb.15,4586.23,6758.0,426.0,22931.149999999998
61,100000062,Fiona,Bell,Female,47,England,Other,12.Feb.15,20336.8,3117.0,605.0,406736.0
62,100000063,Kevin,Gibson,Male,47,England,White Collar,12.Feb.15,22414.93,2520.0,699.0,448298.6
63,100000064,Bernadette,Gibson,Female,39,England,White Collar,12.Feb.15,40305.24,3451.0,580.0,403052.39999999997
64,200000065,Maria,Hughes,Female,50,Scotland,Other,12.Feb.15,18091.36,1470.0,406.0,0.0
65,200000066,Piers,Burgess,Male,43,Scotland,Blue Collar,12.Feb.15,20076.8,2150.0,636.0,0.0
66,200000067,Dan,Ellison,Male,47,Scotland,Blue Collar,12.Feb.15,5300.47,9142.0,468.0,0.0
67,200000068,Lucas,Piper,Male,61,Scotland,Blue Collar,12.Feb.15,7162.43,6671.0,597.0,0.0
68,200000069,Jason,Sharp,Male,53,Scotland,Blue Collar,12.Feb.15,35751.37,6585.0,307.0,0.0
69,200000070,Kevin,Parr,Male,45,Scotland,Other,12.Feb.15,15013.76,4468.0,433.0,0.0
70,200000071,Dan,Mills,Male,49,Scotland,Blue Collar,12.Feb.15,70041.44,6326.0,309.0,0.0
71,200000072,Angela,Roberts,Female,51,Scotland,Other,12.Feb.15,35937.38,4565.0,382.0,0.0
72,300000073,Hannah,White,Female,36,Wales,White Collar,12.Feb.15,41442.1,3985.0,480.0,0.0
73,300000074,Oliver,Simpson,Male,45,Wales,Other,12.Feb.15,36696.92,8923.0,563.0,0.0
74,400000075,Olivia,Dowd,Female,30,Northern Ireland,White Collar,12.Feb.15,21.03,2390.0,544.0,0.0
75,200000076,Michael,Hemmings,Male,44,Scotland,Blue Collar,24.Feb.15,58237.65,8754.0,314.0,0.0
76,100000077,Frank,Brown,Male,38,England,White Collar,09.Mar.15,28509.46,2744.0,388.0,142547.3
77,100000078,Diane,Simpson,Female,36,England,Other,10.Mar.15,38715.45,9881.0,479.0,193577.25
78,300000079,Ruth,Mathis,Female,23,Wales,Blue Collar,15.Mar.15,7370.52,4801.0,311.0,0.0
79,100000080,David,Peters,Male,34,England,White Collar,16.Mar.15,245.46,3559.0,578.0,2454.6
80,100000081,Joan,Buckland,Female,36,England,White Collar,16.Mar.15,59935.75,5444.0,566.0,599357.5
81,100000082,Neil,Robertson,Male,20,England,White Collar,16.Mar.15,11624.36,2914.0,367.0,58121.8
82,100000083,Paul,Mackay,Male,31,England,Blue Collar,16.Mar.15,9346.66,4401.0,547.0,93466.6
83,100000084,Dylan,Fraser,Male,42,England,White Collar,16.Mar.15,43770.37,7318.0,614.0,875407.4
84,100000085,Pippa,Buckland,Female,38,England,White Collar,16.Mar.15,63642.19,6484.0,380.0,318210.95
85,100000086,Matt,McGrath,Male,39,England,White Collar,16.Mar.15,22831.08,4360.0,446.0,114155.40000000001
86,100000087,Jack,White,Male,41,England,Other,16.Mar.15,4846.57,9482.0,497.0,24232.85
87,100000088,Jasmine,Piper,Female,24,England,White Collar,16.Mar.15,71571.52,3378.0,474.0,357857.60000000003
88,100000089,Michelle,Ellison,Female,24,England,White Collar,16.Mar.15,42409.89,8932.0,327.0,212049.45
89,100000090,Wanda,Henderson,Female,35,England,White Collar,16.Mar.15,4194.57,3649.0,566.0,41945.7
90,100000091,Blake,Reid,Male,35,England,White Collar,16.Mar.15,75613.68,6473.0,310.0,378068.39999999997
91,100000092,Jane,Forsyth,Female,26,England,White Collar,16.Mar.15,28587.08,6117.0,359.0,142935.40000000002
92,100000093,Dan,Peake,Male,23,England,White Collar,16.Mar.15,14699.05,1692.0,418.0,73495.25
93,100000094,Lisa,Davies,Female,38,England,Other,16.Mar.15,44034.26,5277.0,651.0,880685.2000000001
94,100000095,Rebecca,Knox,Female,30,England,White Collar,16.Mar.15,55046.35,7958.0,452.0,275231.75
95,100000096,Joshua,Slater,Male,28,England,White Collar,16.Mar.15,67479.01,7281.0,432.0,337395.05
96,100000097,Heather,Wallace,Female,38,England,Blue Collar,16.Mar.15,61890.85,7393.0,555.0,618908.5
97,100000098,Maria,Johnston,Female,36,England,White Collar,16.Mar.15,1430.6,3316.0,367.0,7153.0
98,200000099,Robert,May,Male,40,Scotland,Blue Collar,16.Mar.15,5456.86,6580.0,449.0,0.0
99,200000100,Carolyn,Robertson,Female,56,Scotland,Other,16.Mar.15,13251.27,1366.0,379.0,0.0
100,200000101,Stewart,Lewis,Male,51,Scotland,Blue Collar,16.Mar.15,119014.87,9787.0,305.0,0.0
101,200000102,Emma,Piper,Female,44,Scotland,White Collar,16.Mar.15,18829.79,8548.0,545.0,0.0
102,200000103,Nicola,Powell,Female,55,Scotland,White Collar,16.Mar.15,35939.04,4855.0,637.0,0.0
103,200000104,Diana,McDonald,Female,57,Scotland,Other,16.Mar.15,22686.0,8629.0,398.0,0.0
104,200000105,Stephen,Ross,Male,48,Scotland,White Collar,16.Mar.15,85108.08,5782.0,378.0,0.0
105,200000106,Ella,Bond,Female,54,Scotland,Other,16.Mar.15,44973.03,3018.0,379.0,0.0
106,200000107,Ian,Wilson,Male,36,Scotland,Blue Collar,16.Mar.15,12616.44,4420.0,575.0,0.0
107,200000108,Piers,Quinn,Male,48,Scotland,Blue Collar,16.Mar.15,23910.87,1834.0,391.0,0.0
108,200000109,Joe,Forsyth,Male,63,Scotland,Other,16.Mar.15,73461.71,7662.0,321.0,0.0
109,200000110,Tim,Jones,Male,63,Scotland,Blue Collar,16.Mar.15,26474.23,7484.0,310.0,0.0
110,300000111,Sonia,Robertson,Female,25,Wales,Other,16.Mar.15,70799.64,1689.0,572.0,0.0
111,300000112,Nathan,Paterson,Male,26,Wales,White Collar,16.Mar.15,20627.65,4188.0,473.0,0.0
112,400000113,Tim,Hardacre,Male,29,Northern Ireland,White Collar,16.Mar.15,82229.52,5491.0,380.0,0.0
113,400000114,Fiona,Mills,Female,18,Northern Ireland,Other,16.Mar.15,51171.29,4736.0,569.0,0.0
114,400000115,Ruth,Oliver,Female,43,Northern Ireland,Blue Collar,16.Mar.15,37889.38,3263.0,437.0,0.0
115,100000116,Alison,Johnston,Female,36,England,Other,19.Mar.15,21806.3,8465.0,509.0,218063.0
116,100000117,Amy,McGrath,Female,40,England,Other,25.Mar.15,12415.5,3203.0,352.0,62077.5
117,200000118,Adam,McGrath,Male,52,Scotland,Other,28.Mar.15,67682.92,1542.0,396.0,0.0
118,100000119,Vanessa,Lyman,Female,18,England,White Collar,31.Mar.15,33524.41,4716.0,523.0,335244.10000000003
119,100000120,Andrea,Dickens,Female,31,England,White Collar,31.Mar.15,136370.38,8658.0,581.0,1363703.8
120,100000121,Ian,Slater,Male,37,England,White Collar,31.Mar.15,39159.35,5036.0,571.0,391593.5
121,100000122,Jacob,Payne,Male,25,England,Other,31.Mar.15,3738.1,7655.0,684.0,74762.0
122,100000123,Harry,Short,Male,50,England,White Collar,31.Mar.15,43234.21,1500.0,543.0,432342.1
123,100000124,John,Black,Male,39,England,Other,01.Apr.15,111149.47,5986.0,388.0,555747.35
124,100000125,Jonathan,MacDonald,Male,27,England,White Collar,01.Apr.15,12312.49,2483.0,667.0,246249.8
125,100000126,Benjamin,Blake,Male,42,England,White Collar,01.Apr.15,55661.5,8755.0,448.0,278307.5
126,100000127,Emma,Fraser,Female,27,England,White Collar,01.Apr.15,10481.48,4783.0,421.0,52407.399999999994
127,100000128,Virginia,Berry,Female,41,England,White Collar,01.Apr.15,4347.79,4789.0,493.0,21738.95
128,100000129,Peter,Pullman,Male,47,England,White Collar,01.Apr.15,15093.04,7584.0,557.0,150930.40000000002
129,100000130,Alison,MacLeod,Female,27,England,White Collar,01.Apr.15,27738.77,4552.0,685.0,554775.4
130,100000131,Anna,Wright,Female,41,England,White Collar,01.Apr.15,27557.08,5379.0,331.0,137785.40000000002
131,100000132,James,Marshall,Male,20,England,Blue Collar,01.Apr.15,9578.65,7230.0,518.0,95786.5
132,100000133,Ruth,Bower,Female,38,England,White Collar,02.Apr.15,40456.97,5901.0,590.0,404569.7
133,100000134,Owen,Powell,Male,34,England,Blue Collar,02.Apr.15,44744.24,4465.0,559.0,447442.39999999997
134,100000135,Piers,King,Male,42,England,White Collar,02.Apr.15,56652.56,9380.0,608.0,1133051.2
135,100000136,Christopher,Mackenzie,Male,26,England,White Collar,02.Apr.15,12994.18,4822.0,503.0,129941.8
136,100000137,Sarah,Wallace,Female,43,England,White Collar,02.Apr.15,42207.46,5528.0,696.0,844149.2
137,100000138,Richard,Hemmings,Male,37,England,White Collar,02.Apr.15,10704.25,9374.0,469.0,53521.25
138,100000139,Nicola,Rampling,Female,40,England,White Collar,02.Apr.15,57140.07,1932.0,627.0,1142801.4
139,200000140,Keith,Harris,Male,57,Scotland,Blue Collar,02.Apr.15,40510.36,3360.0,695.0,0.0
140,100000141,Angela,Wright,Female,45,England,White Collar,03.Apr.15,36584.21,8658.0,403.0,182921.05
141,100000142,Sam,Russell,Male,23,England,White Collar,03.Apr.15,10249.56,9240.0,339.0,51247.799999999996
142,100000143,Luke,Ball,Male,45,England,Other,03.Apr.15,40379.31,9740.0,402.0,201896.55
143,100000144,Sean,Bell,Male,26,England,White Collar,03.Apr.15,4539.24,4892.0,446.0,22696.199999999997
144,100000145,Steven,Ball,Male,37,England,White Collar,04.Apr.15,89120.92,1369.0,498.0,445604.6
145,100000146,Andrew,Gray,Male,41,England,White Collar,05.Apr.15,51707.8,5925.0,570.0,517078.0
146,100000147,Jacob,Metcalfe,Male,33,England,White Collar,05.Apr.15,4940.82,1232.0,680.0,98816.4
147,100000148,Madeleine,Ogden,Female,37,England,White Collar,05.Apr.15,48405.93,4658.0,545.0,484059.3
148,100000149,Dylan,Davies,Male,33,England,White Collar,05.Apr.15,32467.1,1806.0,546.0,324671.0
149,100000150,Michelle,Lee,Female,29,England,White Collar,05.Apr.15,4020.51,9430.0,555.0,40205.100000000006
150,100000151,Connor,Grant,Male,33,England,White Collar,05.Apr.15,5160.27,9807.0,346.0,25801.350000000002
151,100000152,Justin,Metcalfe,Male,32,England,White Collar,05.Apr.15,51576.88,7065.0,528.0,515768.8
152,100000153,Elizabeth,Oliver,Female,36,England,White Collar,05.Apr.15,57019.91,9692.0,464.0,285099.55000000005
153,100000154,Kevin,Powell,Male,46,England,White Collar,05.Apr.15,57365.32,7984.0,330.0,286826.6
154,100000155,Tim,Arnold,Male,33,England,Blue Collar,05.Apr.15,1455.6,7639.0,651.0,29112.0
155,100000156,Charles,Roberts,Male,24,England,Other,05.Apr.15,36256.2,3716.0,303.0,181281.0
156,100000157,Anthony,Cornish,Male,32,England,White Collar,05.Apr.15,24927.39,1756.0,325.0,124636.95
157,100000158,Michael,Powell,Male,26,England,White Collar,05.Apr.15,1009.69,8088.0,635.0,20193.800000000003
158,100000159,Lucas,Lawrence,Male,30,England,White Collar,05.Apr.15,21871.43,7097.0,621.0,437428.6
159,100000160,Alexander,Walker,Male,38,England,White Collar,05.Apr.15,7602.94,6571.0,346.0,38014.7
160,100000161,Diana,Powell,Female,42,England,White Collar,05.Apr.15,2337.0,1736.0,627.0,46740.0
161,100000162,Emma,Peters,Female,36,England,Other,05.Apr.15,61541.83,4275.0,480.0,307709.15
162,100000163,Amanda,Morgan,Female,39,England,White Collar,05.Apr.15,4120.66,9737.0,330.0,20603.3
163,200000164,Claire,Walsh,Female,59,Scotland,Other,05.Apr.15,67524.87,7204.0,342.0,0.0
164,200000165,Paul,Harris,Male,52,Scotland,Blue Collar,05.Apr.15,4371.98,6578.0,600.0,0.0
165,200000166,William,Mitchell,Male,51,Scotland,Blue Collar,05.Apr.15,10229.63,8055.0,333.0,0.0
166,300000167,Cameron,Ross,Male,24,Wales,Blue Collar,05.Apr.15,19064.65,3519.0,368.0,0.0
167,300000168,Pippa,Wilson,Female,30,Wales,White Collar,05.Apr.15,30846.82,7162.0,377.0,0.0
168,100000169,Blake,Mills,Male,39,England,Blue Collar,06.Apr.15,71396.66,7549.0,591.0,713966.6000000001
169,100000170,Natalie,Morrison,Female,32,England,Other,06.Apr.15,3290.79,3569.0,457.0,16453.95
170,100000171,John,Hughes,Male,38,England,White Collar,06.Apr.15,13181.22,3742.0,670.0,263624.39999999997
171,100000172,Nicholas,Greene,Male,42,England,Blue Collar,06.Apr.15,62923.29,1726.0,579.0,629232.9
172,100000173,Hannah,Thomson,Female,26,England,White Collar,06.Apr.15,93353.93,5131.0,553.0,933539.2999999999
173,100000174,Penelope,Glover,Female,31,England,White Collar,06.Apr.15,46078.71,3737.0,300.0,230393.55
174,100000175,Max,Stewart,Male,31,England,White Collar,06.Apr.15,15986.62,4232.0,510.0,159866.2
175,100000176,Wendy,Gill,Female,25,England,White Collar,06.Apr.15,27384.85,4734.0,455.0,136924.25
176,100000177,Thomas,Bailey,Male,35,England,White Collar,06.Apr.15,70349.32,9306.0,368.0,351746.60000000003
177,100000178,Dan,Piper,Male,33,England,Blue Collar,06.Apr.15,60748.04,1644.0,544.0,607480.4
178,100000179,Dan,Metcalfe,Male,24,England,Blue Collar,06.Apr.15,52862.29,4859.0,469.0,264311.45
179,400000180,Eric,Bower,Male,29,Northern Ireland,Blue Collar,06.Apr.15,20516.51,9889.0,506.0,0.0
180,100000181,Mary,Watson,Female,32,England,White Collar,07.Apr.15,99806.54,4594.0,388.0,499032.69999999995
181,100000182,Austin,Ball,Male,36,England,White Collar,07.Apr.15,21236.23,7319.0,306.0,106181.15
182,100000183,Christian,Piper,Male,31,England,White Collar,07.Apr.15,115312.87,3001.0,338.0,576564.35
183,100000184,Peter,McGrath,Male,33,England,Other,07.Apr.15,80564.87,8736.0,626.0,1611297.4
184,100000185,Cameron,Short,Male,40,England,Other,07.Apr.15,21351.4,1240.0,642.0,427028.0
185,200000186,Sue,Ellison,Female,51,Scotland,Other,07.Apr.15,58953.83,6256.0,664.0,0.0
186,100000187,Emma,Parr,Female,46,England,White Collar,08.Apr.15,40685.39,8807.0,391.0,203426.95
187,100000188,Pippa,Mathis,Female,29,England,White Collar,08.Apr.15,22659.88,4819.0,559.0,226598.80000000002
188,100000189,Wendy,Morrison,Female,40,England,White Collar,08.Apr.15,9431.04,3513.0,483.0,47155.200000000004
189,100000190,Vanessa,Avery,Female,25,England,Other,08.Apr.15,58714.66,2719.0,318.0,293573.30000000005
190,200000191,Jason,Fisher,Male,51,Scotland,Blue Collar,08.Apr.15,1239.6,2389.0,455.0,0.0
191,100000192,Oliver,Blake,Male,39,England,White Collar,09.Apr.15,48396.17,1371.0,527.0,483961.69999999995
192,100000193,Jane,Wright,Female,44,England,Other,10.Apr.15,12283.3,8113.0,625.0,245666.0
193,100000194,James,McGrath,Male,40,England,White Collar,10.Apr.15,29331.41,5288.0,575.0,293314.1
194,100000195,Amanda,Young,Female,35,England,White Collar,10.Apr.15,16390.11,6923.0,616.0,327802.2
195,100000196,Jennifer,Slater,Female,32,England,White Collar,10.Apr.15,87203.66,8172.0,372.0,436018.30000000005
196,100000197,Blake,Ross,Male,38,England,Blue Collar,11.Apr.15,3141.6,2263.0,493.0,15708.0
197,100000198,Tim,North,Male,29,England,White Collar,11.Apr.15,2299.26,4019.0,654.0,45985.200000000004
198,100000199,Jasmine,Terry,Female,31,England,Blue Collar,11.Apr.15,44162.06,5133.0,502.0,441620.6
199,100000200,Karen,Mackenzie,Female,47,England,White Collar,11.Apr.15,90868.86,8334.0,558.0,908688.6
200,100000201,Oliver,Dickens,Male,34,England,Other,12.Apr.15,37985.15,6986.0,578.0,379851.5
201,100000202,Fiona,Underwood,Female,37,England,White Collar,12.Apr.15,54630.38,5705.0,575.0,546303.7999999999
202,100000203,Yvonne,Arnold,Female,40,England,White Collar,12.Apr.15,60648.52,2521.0,477.0,303242.6
203,100000204,Fiona,Vance,Female,26,England,White Collar,12.Apr.15,18894.19,5039.0,357.0,94470.95
204,100000205,Anna,Lee,Female,25,England,Blue Collar,12.Apr.15,79603.36,6880.0,470.0,398016.8
205,100000206,Wanda,Short,Female,36,England,White Collar,12.Apr.15,109026.81,7812.0,316.0,545134.05
206,100000207,Blake,Berry,Male,41,England,White Collar,12.Apr.15,73998.37,4297.0,683.0,1479967.4
207,100000208,Phil,Lewis,Male,39,England,White Collar,12.Apr.15,3734.24,6981.0,684.0,74684.79999999999
208,100000209,Christian,Sharp,Male,39,England,Blue Collar,12.Apr.15,23322.33,1912.0,435.0,116611.65000000001
209,200000210,Blake,Rutherford,Male,44,Scotland,Blue Collar,12.Apr.15,64482.16,2268.0,430.0,0.0
210,100000211,Robert,Wright,Male,39,England,White Collar,13.Apr.15,52505.16,5921.0,609.0,1050103.2000000002
211,100000212,Eric,North,Male,34,England,White Collar,13.Apr.15,16569.82,7435.0,655.0,331396.4
212,100000213,Tracey,Grant,Female,29,England,Blue Collar,13.Apr.15,21065.22,4705.0,648.0,421304.4
213,100000214,Faith,McDonald,Female,21,England,Other,13.Apr.15,13487.9,1273.0,679.0,269758.0
214,100000215,Alan,Murray,Male,39,England,Blue Collar,13.Apr.15,34338.84,8585.0,511.0,343388.39999999997
215,100000216,Nathan,Turner,Male,38,England,White Collar,13.Apr.15,48146.54,2690.0,430.0,240732.7
216,100000217,Carolyn,Hart,Female,28,England,White Collar,13.Apr.15,27008.87,1250.0,430.0,135044.35
217,100000218,Theresa,Grant,Female,29,England,White Collar,14.Apr.15,29907.72,1295.0,589.0,299077.2
218,100000219,Alexander,Ince,Male,25,England,White Collar,14.Apr.15,31660.86,4964.0,635.0,633217.2
219,100000220,Maria,Simpson,Female,38,England,Other,14.Apr.15,33509.17,5944.0,366.0,167545.84999999998
220,100000221,Sally,Arnold,Female,45,England,Blue Collar,14.Apr.15,2575.63,7143.0,399.0,12878.150000000001
221,100000222,Jessica,Morrison,Female,33,England,White Collar,14.Apr.15,4072.58,4396.0,542.0,40725.8
222,100000223,Lucas,Langdon,Male,32,England,White Collar,14.Apr.15,15375.41,3784.0,400.0,76877.05
223,100000224,Christian,Baker,Male,43,England,White Collar,14.Apr.15,18103.72,6166.0,469.0,90518.6
224,100000225,Piers,White,Male,31,England,White Collar,14.Apr.15,63230.57,7369.0,530.0,632305.7
225,100000226,Gordon,Fraser,Male,40,England,White Collar,14.Apr.15,9875.43,8491.0,530.0,98754.3
226,100000227,Connor,Gill,Male,29,England,Other,15.Apr.15,106172.13,6868.0,638.0,2123442.6
227,100000228,Virginia,Howard,Female,37,England,White Collar,15.Apr.15,4611.5,1418.0,386.0,23057.5
228,100000229,Yvonne,Johnston,Female,36,England,White Collar,15.Apr.15,42635.27,8555.0,300.0,213176.34999999998
229,100000230,Dan,Terry,Male,42,England,White Collar,15.Apr.15,51923.76,5700.0,317.0,259618.80000000002
230,100000231,Audrey,McGrath,Female,45,England,White Collar,15.Apr.15,39249.25,9976.0,469.0,196246.25
231,100000232,Trevor,King,Male,41,England,Blue Collar,15.Apr.15,57762.79,5886.0,568.0,577627.9
232,100000233,Stewart,Pullman,Male,42,England,White Collar,16.Apr.15,63869.71,7679.0,334.0,319348.55
233,100000234,Brian,Mackay,Male,42,England,White Collar,16.Apr.15,10199.66,8321.0,535.0,101996.6
234,100000235,Jessica,James,Female,40,England,White Collar,16.Apr.15,47518.92,9246.0,469.0,237594.59999999998
235,100000236,Carol,Blake,Female,43,England,White Collar,16.Apr.15,25542.15,4835.0,348.0,127710.75
236,100000237,Alison,Hudson,Female,43,England,White Collar,16.Apr.15,23887.45,2834.0,577.0,238874.5
237,300000238,Dorothy,Miller,Female,27,Wales,Other,16.Apr.15,39264.03,4420.0,604.0,0.0
238,100000239,Natalie,Welch,Female,35,England,White Collar,17.Apr.15,11880.47,7512.0,656.0,237609.4
239,100000240,John,Baker,Male,32,England,White Collar,17.Apr.15,50658.95,7942.0,679.0,1013179.0
240,100000241,Oliver,Powell,Male,43,England,White Collar,17.Apr.15,14946.79,9365.0,475.0,74733.95000000001
241,100000242,Amanda,Rees,Female,34,England,Blue Collar,17.Apr.15,57148.41,1364.0,337.0,285742.05000000005
242,100000243,Paul,Davies,Male,47,England,Blue Collar,17.Apr.15,116144.95,2314.0,638.0,2322899.0
243,100000244,Brian,Short,Male,39,England,White Collar,17.Apr.15,45135.16,1419.0,524.0,451351.60000000003
244,100000245,Matt,Graham,Male,31,England,White Collar,17.Apr.15,9867.56,6443.0,375.0,49337.799999999996
245,100000246,Justin,Paterson,Male,30,England,White Collar,17.Apr.15,4442.71,9780.0,596.0,44427.1
246,100000247,Claire,Dickens,Female,33,England,White Collar,17.Apr.15,14380.27,5554.0,402.0,71901.35
247,100000248,James,Miller,Male,37,England,White Collar,17.Apr.15,4263.53,6403.0,512.0,42635.299999999996
248,100000249,Brandon,Bower,Male,43,England,White Collar,17.Apr.15,32667.33,8548.0,351.0,163336.65000000002
249,100000250,Amelia,Mathis,Female,30,England,Blue Collar,17.Apr.15,13407.54,4814.0,663.0,268150.80000000005
250,100000251,Fiona,Jones,Female,33,England,White Collar,17.Apr.15,57127.03,8718.0,534.0,571270.3
